stationID,Date_Time,Date,time,PM25,PM10,O3,CO,NO2,SO2,AQI-Level,AQI-Score
bkp80t,15/4/2023 21:00,15/4/2023,21:00,54,-1,-1,-1,-1,-1,4,109
bkp81t,15/4/2023 21:00,15/4/2023,21:00,62,-1,-1,-1,-1,-1,4,129
bkp82t,15/4/2023 21:00,15/4/2023,21:00,54,-1,-1,-1,-1,-1,4,109
bkp83t,15/4/2023 21:00,15/4/2023,21:00,65,-1,-1,-1,-1,-1,4,137
bkp84t,15/4/2023 21:00,15/4/2023,21:00,61,-1,-1,-1,-1,-1,4,126
bkp85t,15/4/2023 21:00,15/4/2023,21:00,72,-1,-1,-1,-1,-1,4,154
bkp86t,15/4/2023 21:00,15/4/2023,21:00,60,-1,-1,-1,-1,-1,4,124
bkp87t,15/4/2023 21:00,15/4/2023,21:00,62,-1,-1,-1,-1,-1,4,129
bkp88t,15/4/2023 21:00,15/4/2023,21:00,59,-1,-1,-1,-1,-1,4,121
bkp89t,15/4/2023 21:00,15/4/2023,21:00,59,-1,-1,-1,-1,-1,4,121
bkp90t,15/4/2023 21:00,15/4/2023,21:00,57,-1,-1,-1,-1,-1,4,116
bkp91t,15/4/2023 21:00,15/4/2023,21:00,55,-1,-1,-1,-1,-1,4,111
bkp92t,15/4/2023 21:00,15/4/2023,21:00,68,-1,-1,-1,-1,-1,4,144
bkp93t,15/4/2023 21:00,15/4/2023,21:00,52,-1,-1,-1,-1,-1,4,104
bkp94t,15/4/2023 21:00,15/4/2023,21:00,69,-1,-1,-1,-1,-1,4,147
bkp95t,15/4/2023 21:00,15/4/2023,21:00,61,-1,-1,-1,-1,-1,4,126
bkp96t,15/4/2023 21:00,15/4/2023,21:00,51,-1,-1,-1,-1,-1,4,101
bkp97t,15/4/2023 21:00,15/4/2023,21:00,60,-1,-1,-1,-1,-1,4,124
bkp98t,15/4/2023 21:00,15/4/2023,21:00,56,-1,-1,-1,-1,-1,4,114
bkp99t,15/4/2023 21:00,15/4/2023,21:00,49,-1,-1,-1,-1,-1,3,96
o26,15/4/2023 21:00,15/4/2023,21:00,59,-1,-1,-1,-1,-1,4,121
94t,15/4/2023 21:00,15/4/2023,21:00,86,122,45,0.86,56,2,4,190
46t,15/4/2023 21:00,15/4/2023,21:00,62,-1,-1,-1,-1,-1,4,129
100t,15/4/2023 21:00,15/4/2023,21:00,50,70,27,0.53,13,2,3,100
60t,15/4/2023 21:00,15/4/2023,21:00,50,99,32,-1,-1,-1,3,100
